sex,age,L,M,S
F,91,-0.4012 ,124.2364 ,0.0404 
F,92,-0.4442 ,124.7224 ,0.0405 
F,93,-0.4862 ,125.2084 ,0.0406 
F,94,-0.5271 ,125.6944 ,0.0407 
F,95,-0.5670 ,126.1805 ,0.0408 
F,96,-0.5993 ,126.6703 ,0.0410 
F,97,-0.6308 ,127.1601 ,0.0411 
F,98,-0.6616 ,127.6500 ,0.0412 
F,99,-0.6918 ,128.1399 ,0.0413 
F,100,-0.7213 ,128.6297 ,0.0414 
F,101,-0.7502 ,129.1197 ,0.0415 
F,102,-0.7790 ,129.6197 ,0.0416 
F,103,-0.8070 ,130.1199 ,0.0417 
F,104,-0.8342 ,130.6200 ,0.0418 
F,105,-0.8608 ,131.1202 ,0.0420 
F,106,-0.8868 ,131.6204 ,0.0421 
F,107,-0.9121 ,132.1207 ,0.0422 
F,108,-0.8812 ,132.6442 ,0.0423 
F,109,-0.8510 ,133.1677 ,0.0425 
F,110,-0.8214 ,133.6912 ,0.0426 
F,111,-0.7924 ,134.2147 ,0.0428 
F,112,-0.7640 ,134.7382 ,0.0429 
F,113,-0.7362 ,135.2617 ,0.0430 
F,114,-0.6545 ,135.8116 ,0.0432 
F,115,-0.5740 ,136.3617 ,0.0433 
F,116,-0.4946 ,136.9119 ,0.0434 
F,117,-0.4162 ,137.4622 ,0.0435 
F,118,-0.3389 ,138.0126 ,0.0436 
F,119,-0.2627 ,138.5631 ,0.0438 
F,120,-0.1573 ,139.1218 ,0.0438 
F,121,-0.0528 ,139.6805 ,0.0439 
F,122,0.0509 ,140.2395 ,0.0439 
F,123,0.1538 ,140.7986 ,0.0440 
F,124,0.2558 ,141.3578 ,0.0440 
F,125,0.3569 ,141.9172 ,0.0441 
F,126,0.4653 ,142.4689 ,0.0440 
F,127,0.5738 ,143.0207 ,0.0440 
F,128,0.6821 ,143.5726 ,0.0439 
F,129,0.7904 ,144.1246 ,0.0438 
F,130,0.8986 ,144.6765 ,0.0438 
F,131,1.0066 ,145.2285 ,0.0437 
F,132,1.1242 ,145.7568 ,0.0435 
F,133,1.2433 ,146.2852 ,0.0433 
F,134,1.3638 ,146.8136 ,0.0431 
F,135,1.4857 ,147.3421 ,0.0429 
F,136,1.6090 ,147.8706 ,0.0427 
F,137,1.7336 ,148.3990 ,0.0425 
F,138,1.8239 ,148.8746 ,0.0421 
F,139,1.9161 ,149.3501 ,0.0418 
F,140,2.0103 ,149.8256 ,0.0415 
F,141,2.1065 ,150.3011 ,0.0412 
F,142,2.2047 ,150.7766 ,0.0409 
F,143,2.3049 ,151.2521 ,0.0406 
F,144,2.3447 ,151.6571 ,0.0402 
F,145,2.3855 ,152.0621 ,0.0399 
F,146,2.4272 ,152.4672 ,0.0395 
F,147,2.4699 ,152.8722 ,0.0392 
F,148,2.5136 ,153.2772 ,0.0388 
F,149,2.5584 ,153.6821 ,0.0385 
F,150,2.5648 ,154.0138 ,0.0382 
F,151,2.5712 ,154.3455 ,0.0378 
F,152,2.5775 ,154.6772 ,0.0375 
F,153,2.5837 ,155.0089 ,0.0372 
F,154,2.5899 ,155.3405 ,0.0368 
F,155,2.5959 ,155.6722 ,0.0365 
F,156,2.5607 ,155.9198 ,0.0362 
F,157,2.5239 ,156.1672 ,0.0360 
F,158,2.4856 ,156.4146 ,0.0357 
F,159,2.4458 ,156.6619 ,0.0355 
F,160,2.4042 ,156.9091 ,0.0352 
F,161,2.3609 ,157.1562 ,0.0350 
F,162,2.3149 ,157.3292 ,0.0348 
F,163,2.2677 ,157.5021 ,0.0346 
F,164,2.2195 ,157.6750 ,0.0345 
F,165,2.1701 ,157.8478 ,0.0343 
F,166,2.1196 ,158.0205 ,0.0342 
F,167,2.0679 ,158.1932 ,0.0340 
F,168,2.0549 ,158.3159 ,0.0339 
F,169,2.0417 ,158.4387 ,0.0338 
